n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
1,0,128,111,8.211,0.573871,nan
2,1,128,111,1.496,0.523016,0.48080615
3,2,128,111,1.988,0.513256,0.27704598
4,3,128,111,1.494,0.507926,0.18993726
5,4,128,111,1.491,0.506334,0.15288063
6,5,128,111,1.797,0.502225,0.11687252
7,6,128,111,1.685,0.498314,0.10963853
8,7,128,111,1.587,0.505360,0.14987753
9,8,128,111,1.498,0.504189,0.07204069
10,9,128,111,1.491,0.504830,0.07423602
11,10,128,111,1.492,0.508928,0.08030253
12,11,128,111,1.490,0.508679,0.07958829
13,12,128,111,1.485,0.509203,0.08431631
14,13,128,111,1.494,0.508076,0.08471057
15,14,128,111,1.494,0.510172,0.07083246
16,15,128,111,1.591,0.512044,0.05372004
17,16,128,111,1.497,0.511900,0.06654879
18,17,128,111,1.489,0.512070,0.05098010
19,18,128,111,1.487,0.511822,0.04290765
20,19,128,111,1.490,0.512085,0.04575604
21,20,128,111,1.491,0.512091,0.04039169
22,21,128,111,1.499,0.512071,0.03407060
23,22,128,111,1.483,0.510789,0.03823560
24,23,128,111,1.491,0.511357,0.04746414
25,24,128,111,1.785,0.510835,0.03474767
26,25,128,111,1.803,0.509648,0.02931816
27,26,128,111,1.485,0.510434,0.03842590
28,27,128,111,1.490,0.509153,0.03519952
29,28,128,111,1.496,0.508822,0.03283880
30,29,128,111,1.485,0.510089,0.03359395
31,30,128,111,1.504,0.509571,0.02721474
32,31,128,111,1.503,0.510638,0.02862287
33,32,128,111,1.493,0.510885,0.04227652
34,33,128,111,1.587,0.512072,0.03321509
35,34,128,111,2.204,0.512778,0.03018101
36,35,128,111,1.483,0.513803,0.02617788
37,36,128,111,1.492,0.514308,0.02428809
38,37,128,111,1.498,0.514968,0.03078965
39,38,128,111,1.583,0.515180,0.02733937
40,39,128,111,1.501,0.515060,0.02706434
41,40,128,111,1.493,0.515420,0.02661030
42,41,128,111,1.485,0.517066,0.02739870
43,42,128,111,1.491,0.517375,0.02959256
44,43,128,111,1.587,0.518194,0.02887250
45,44,128,111,1.502,0.518336,0.01930987
46,45,128,111,1.494,0.517739,0.02097390
47,46,128,111,1.486,0.517917,0.01924619
48,47,128,111,1.499,0.517692,0.01754840
49,48,128,111,1.566,0.518545,0.01947311
50,49,128,111,1.581,0.518864,0.01921302
51,50,128,111,1.501,0.518337,0.01886651
52,51,128,111,1.587,0.518799,0.03063737
53,52,128,111,1.503,0.519373,0.01827739
54,53,128,111,1.488,0.519596,0.01934808
55,54,128,111,1.497,0.520322,0.02340303
56,55,128,111,1.520,0.520077,0.02117765
57,56,128,111,1.501,0.519917,0.01521874
58,57,128,111,1.497,0.520275,0.02054764
59,58,128,111,1.497,0.520653,0.01631581
60,59,128,111,1.508,0.521180,0.01887584
61,60,128,111,1.691,0.521245,0.01438882
62,61,128,111,1.764,0.521283,0.01375600
63,62,128,111,1.488,0.521557,0.01229969
64,63,128,111,1.618,0.522037,0.01534867
65,64,128,111,1.497,0.521604,0.01273553
66,65,128,111,1.498,0.521607,0.01162918
67,66,128,111,1.488,0.521791,0.01252656
68,67,128,111,1.498,0.521860,0.02702500
69,68,128,111,1.486,0.522124,0.01256231
70,69,128,111,1.489,0.522231,0.01202905
71,70,128,111,1.493,0.522391,0.01569647
72,71,128,111,1.491,0.522151,0.01015733
73,72,128,111,1.493,0.522781,0.01618972
74,73,128,111,1.494,0.523970,0.01681057
75,74,128,111,1.499,0.524449,0.01316532
76,75,128,111,1.510,0.524340,0.01106021
77,76,128,111,1.503,0.523899,0.00965850
78,77,128,111,1.485,0.523526,0.01046313
79,78,128,111,1.493,0.523273,0.00944901
80,79,128,111,1.501,0.523305,0.01001186
81,80,128,111,1.492,0.523450,0.01225047
82,81,128,111,1.480,0.523130,0.00982478
83,82,128,111,1.489,0.522904,0.01040164
84,83,128,111,1.499,0.522515,0.01081421
85,84,128,111,1.487,0.522115,0.01078611
86,85,128,111,1.492,0.522230,0.01131985
87,86,128,111,1.502,0.521809,0.00962741
88,87,128,111,1.502,0.521758,0.01023580
89,88,128,111,1.494,0.521648,0.01294218
90,89,128,111,1.585,0.521632,0.01043199
91,90,128,111,1.500,0.521260,0.00964451
92,91,128,111,1.581,0.520969,0.00828669
93,92,128,111,1.505,0.520585,0.00839403
94,93,128,111,1.496,0.520384,0.00988483
95,94,128,111,1.512,0.520318,0.01110026
96,95,128,111,1.498,0.520370,0.00769638
97,96,128,111,1.516,0.520247,0.00912969
98,97,128,111,1.500,0.520040,0.00921799
99,98,128,111,1.490,0.519792,0.00800873
100,99,128,111,1.493,0.519714,0.00720932
101,100,128,111,1.489,0.519365,0.00761451
102,101,128,111,1.487,0.519690,0.00707865
103,102,128,111,1.498,0.519661,0.00735914
104,103,128,111,1.512,0.519591,0.00696488
105,104,128,111,1.503,0.519282,0.00698881
106,105,128,111,1.493,0.519286,0.00785790
107,106,128,111,1.452,0.519122,0.00666098
108,107,128,111,1.513,0.519296,0.00863319
109,108,128,111,1.499,0.519042,0.00739984
110,109,128,111,1.555,0.519229,0.00970653
111,110,128,111,1.500,0.519219,0.01014112
112,111,128,111,1.497,0.519480,0.00973197
113,112,128,111,1.490,0.519482,0.00844151
114,113,128,111,1.492,0.519492,0.00810633
115,114,128,111,1.488,0.519200,0.00674692
116,115,128,111,1.488,0.519422,0.00919013
117,116,128,111,1.505,0.519427,0.00747273
118,117,128,111,1.511,0.519414,0.00755447
119,118,128,111,1.486,0.519265,0.00706715
120,119,128,111,1.492,0.519385,0.00743989
121,120,128,111,1.486,0.519383,0.00813720
122,121,128,111,1.496,0.519460,0.00667696
123,122,128,111,1.497,0.519704,0.00820101
124,123,128,111,1.546,0.519971,0.00925317
125,124,128,111,1.499,0.519883,0.00642438
126,125,128,111,1.493,0.519728,0.00728030
127,126,128,111,1.493,0.519471,0.00694211
128,127,128,111,1.481,0.519223,0.00672794
129,128,128,111,1.498,0.519557,0.00782568
130,129,128,111,1.458,0.519754,0.00828341
131,130,128,111,1.447,0.519918,0.00686857
132,131,128,111,1.484,0.520165,0.00718351
133,132,128,111,1.498,0.520491,0.00810055
134,133,128,111,1.470,0.520394,0.00691786
135,134,128,111,1.495,0.520320,0.00759896
136,135,128,111,1.511,0.520319,0.00757794
137,136,128,111,1.501,0.520157,0.00630447
138,137,128,111,1.498,0.520189,0.00670954
139,138,128,111,1.503,0.520157,0.00615771
